actor_id,iso3,display_name,actor_type,current_active_flag,wto_reporter_code,canonical_name,review_status,ttd_reporter_supported,keep_active,review_notes
UZB,UZB,Uzbekistan,country,yes,860,Uzbekistan,reviewed,yes,yes,
VAT,VAT,Holy See (Vatican City State),country,yes,336,Holy See (Vatican City State),reviewed,yes,yes,
VCT,VCT,Saint Vincent and the Grenadines,country,yes,670,Saint Vincent and the Grenadines,reviewed,yes,yes,
VEN,VEN,"Venezuela, Bolivarian Republic of",country,yes,862,"Venezuela, Bolivarian Republic of",reviewed,yes,yes,
VGB,VGB,"Virgin Islands, British",country,yes,092,"Virgin Islands, British",reviewed,no,no,
VIR,VIR,"Virgin Islands, U.S.",country,yes,850,"Virgin Islands, U.S.",reviewed,no,no,
VNM,VNM,Viet Nam,country,yes,704,Viet Nam,reviewed,yes,yes,
VUT,VUT,Vanuatu,country,yes,548,Vanuatu,reviewed,yes,yes,
WLF,WLF,Wallis and Futuna,country,yes,876,Wallis and Futuna,reviewed,no,no,
WSM,WSM,Samoa,country,yes,882,Samoa,reviewed,yes,yes,
YEM,YEM,Yemen,country,yes,887,Yemen,reviewed,yes,yes,
ZAF,ZAF,South Africa,country,yes,710,South Africa,reviewed,yes,yes,
ZMB,ZMB,Zambia,country,yes,894,Zambia,reviewed,yes,yes,
ZWE,ZWE,Zimbabwe,country,yes,716,Zimbabwe,reviewed,yes,yes,
